ROW 1 : ["NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4","NOV4"]
ROW 2 : [38292]
ROW 3 : ["WHOLE MILK ACCOUNT - August - 2004",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"SKIM MILK- August - 2004",null,null,null,null,null,null,null,null,null,null,null,null,null,"CREAM- August- 2004",null,null,null,null,null,null,null,null,null,null,null,null,"F.M.- August- 2004",null,null,null,null,null,null,null,null,"BUTTER MILK - ",null,null,null,null,null,null,null,null,null,"BUTTER- ",null,null,null,null,null,null,null,null,null,"GHEE- ",null,null,null,null,null,null,null,null,null,null,null,"S.KHOA- ",null,null,null,null,null,null,null,null,null,null,"UNSWEET KHOA- ",null,null,null,null,null,null,null,null,null,"PANEER -",null,null,null,null,null,null,null,null,null,null,null,null,"SHRIKHAND- ",null,null,null,null,null,null,null,null,"ICECREAM-",null,null,null,null,null,null,null,null,null,"GULABJAMUN ",null,null,null,null,null,null,null,null,null,"RASOGOLLA- ",null,null,null,null,null,null,null,null,null,"YOGHURT -",null,null,null,null,null,null,null,null,null,"SKIM MILK CURD"]
ROW 4 : ["Sl. No.","Date ","O.B.","KPM","URF","LU ","ABT-MDM","Total","Card","Cash","Bulk","ABT","DSC","purpose","RVO","Canteen","Hostel","PHYSIOLOGY","curd","HOME CAT","RASGO","Sepn.","FL.milk","S.khoa","U.S.khoa","Yoghurt","Shrikhand","Ice cream","Paneer","Spilage","Q.C.","Total","C.B.","WM","PRODUCTION","CREAM","OB","TOTAL","hostel","Butter milk","curd","F.M","DSC","short","bulk","CASH","SUB.TOT","C.B","ACTUAL","PROD","OB","TOTAL","BUTTER","GHEE","ICECREAM","BULK","dsc","CASH","SUB.TOT","C.B","WM","PROD","OB","TOTAL","Hostel","p.d ","DSC","CASH","SUB.TOT","C.B","PROD","OB","TOTAL","Hostel","BUTTER",null,"CASH","DSC","SUB.TOT","C.B","CREAM","PROD","OB","TOTAL","staf cr-mag","DSC","CASH","BULK","SUB.TOT","C.B","CREAM ","PROD","OB","TOTAL","magdoom","vembuli  naga","HOME CATERER","bulk","CASH","DSC","SUB.TOT","C.B","WM","PROD","OB","TOTAL","canteen","STAFF CR","CASH","BULK","DSC","SUB.TOT","C.B","WM","PROD","OB","TOTAL","GUL","BULK","CASH","home cat","SUB.TOT","C.B","W.M ","PROD","OB","TOTAL","Magdom","dsc","HOME CATERER","staf cr naga","CASH","BULK","SUB.TOT","C.B","milk","PROD","OB","TOTAL","Hostel","CASH","F.M","DSC","SUB.TOT","C.B","PROD","OB","TOTAL","Registrar office","bulk","NCC","CASH","DSC","SUB.TOT","C.B","PROD","OB","TOTAL","Hostel","BUTTER","NCC","CASH","DSC","SUB.TOT","C.B","PROD","OB","TOTAL","Hostel","BUTTER","F.M","CASH","DSC","SUB.TOT","C.B","PROD","OB","TOTAL","Hostel","BUTTER","F.M","CASH","DSC","SUB.TOT","C.B","PROD","OB","TOTAL","Hostel","BUTTER","F.M","CASH","DSC","SUB.TOT","C.B"]
ROW 5 : [1,38292,1.15,null,7,60,null,68.15,8.5,5,8,null,null,null,2,null,null,null,null,null,null,42,null,null,null,null,null,null,null,0.5,0.25,66.25,1.9000000000000057,42,40,2,13,53,40,null,null,null,null,null,null,2,42,11,4.2,2,28.250000000000128,30.250000000000128,null,null,null,null,null,null,0,28.250000000000128,0,0,0,0,null,null,null,null,0,0,null,0,0,null,null,null,null,null,0,0,0,0,4.21,4.21,null,null,null,null,0,4.21,0,null,10.11,10.11,null,null,null,1.25,0.5,null,1.75,8.36,0,0,0,0,null,0,null,null,null,0,0,0,0,0,0,0,null,null,null,0,0,0,0,2.76,2.76,0,0,null,null,null,null,0,2.76,0,0,0,0,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0]
ROW 6 : [2,38293,1.9000000000000057,null,7,59,null,67.9,8.5,5,10,null,null,null,2,null,null,null,null,null,null,41,null,null,null,null,null,null,null,0.5,0.25,67.25,0.6500000000000057,41,40,1,11,51,39,null,null,null,null,null,null,1,40,11,4.1000000000000005,1,28.250000000000128,29.250000000000128,0,21,null,null,null,null,21,8.250000000000128,0,0,0,0,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,4.21,4.21,null,null,null,null,0,4.21,21,13.635,8.36,21.994999999999997,null,null,null,1.25,null,null,1.25,20.744999999999997,0,0,0,0,null,null,null,null,null,0,0,0,0,0,0,null,null,null,null,0,0,0,0,2.76,2.76,null,null,null,null,null,null,0,2.76,0,0,0,0,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0]
ROW 7 : [3,38294,0.6500000000000057,null,7,58,null,65.65,8.5,9,null,null,5,null,2,null,null,null,null,null,null,40,null,null,null,null,null,null,null,0.5,0.25,65.25,0.4000000000000057,40,39,1,11,50,40.5,null,null,null,null,null,null,null,40.5,9.5,4,1,8.250000000000128,9.250000000000128,null,null,null,null,null,null,0,9.250000000000128,0,0,0,0,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,4.21,4.21,null,null,null,null,0,4.21,0,null,20.744999999999997,20.744999999999997,null,null,null,1.5,0,null,1.5,19.244999999999997,0,0,0,0,null,null,null,null,null,0,0,0,0,0,0,0,null,null,null,0,0,0,0,2.76,2.76,null,null,null,null,null,null,0,2.76,0,0,0,0,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0]
ROW 8 : [4,38295,0.4000000000000057,null,6,61,null,67.4,8.5,3.5,null,null,5,null,2,null,null,null,null,null,null,42,null,null,null,null,null,null,null,0.5,0.25,61.75,5.650000000000006,42,41,1,9.5,50.5,40,null,null,null,null,null,null,1,41,9.5,4.2,1,9.250000000000128,10.250000000000128,null,null,null,null,null,null,0,10.250000000000128,0,0,0,0,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,4.21,4.21,null,null,null,null,0,4.21,0,null,19.244999999999997,19.244999999999997,null,null,null,null,null,null,0,19.244999999999997,0,0,0,0,null,null,null,null,null,0,0,0,0,0,0,null,null,null,null,0,0,0,0,2.76,2.76,null,null,null,null,null,null,0,2.76,0,0,0,0,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0]
ROW 9 : [5,38296,5.650000000000006,null,7,61,null,73.65,8.5,9,null,null,6,null,2,null,null,null,null,null,null,36,null,null,null,null,null,null,null,0.5,0.25,62.25,11.400000000000006,36,35,1,9.5,44.5,35,null,null,null,null,null,null,null,35,9.5,3.6,1,10.250000000000128,11.250000000000128,null,null,null,null,null,null,0,11.250000000000128,0,0,0,0,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,4.21,4.21,null,null,null,null,0,4.21,0,10,19.244999999999997,29.244999999999997,null,null,null,null,null,5,5,24.244999999999997,0,0,0,0,null,null,null,null,null,0,0,0,0,0,0,0,null,null,null,0,0,0,0,2.76,2.76,null,null,null,null,null,null,0,2.76,0,0,0,0,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0]
ROW 10 : [6,38297,11.400000000000006,null,8,61,null,80.4,4.5,4,null,null,null,null,2,null,null,null,null,null,null,51,null,8,null,null,null,null,null,0.5,0.25,70.25,10.150000000000006,51,50,1,9.5,59.5,50,null,null,null,null,null,null,null,50,9.5,5.1000000000000005,1,11.250000000000128,12.250000000000128,null,null,null,null,null,null,0,12.250000000000128,0,0,0,0,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,4.21,4.21,null,null,null,null,0,4.21,0,null,24.244999999999997,24.244999999999997,null,null,null,null,null,null,0,24.244999999999997,8,1.35,0,1.35,null,null,null,null,null,0,1.35,0,0,0,0,0,null,null,null,0,0,0,0,2.76,2.76,null,0,null,0,null,null,0,2.76,0,0,0,0,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0]
ROW 11 : [7,38298,10.150000000000006,null,9,62,null,81.15,6,2,7,null,null,null,2,null,null,null,null,null,null,47,null,9,null,null,null,null,null,0.5,0.25,73.75,7.400000000000006,47,46,1,9.5,55.5,46,null,null,null,null,null,null,null,46,9.5,4.7,1,12.250000000000128,13.250000000000128,null,null,null,null,null,null,0,13.250000000000128,0,0,0,0,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,4.21,4.21,null,null,null,null,0,4.21,0,null,24.244999999999997,24.244999999999997,null,null,null,1.5,0.5,null,2,22.244999999999997,9,2.05,1.35,3.4,null,null,null,null,null,0,3.4,0,0,0,0,0,null,null,null,0,0,0,0,2.76,2.76,null,null,null,null,null,null,0,2.76,0,0,0,0,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0]
